Word,Translation
debris,обломки/развалины
scramble,карабкаться/бороться/цепляться
ludicrous,смехотворный/нелепый
pour,лить
precious,драгоценный/дорогой
scrutiny,изучение/исследование
toil,трудиться
thrill,трепет/дрожь/возбуждение
dairy,молочный
mansion,дворец/хоромы
relent,смягчать
permit,разрешение/позволять
devious,окольный/хитрый
haggle,торговаться/спорить
valve,клапан
relentless,неустанный/непреклонный
sanity,здравомыслие/нормальная психика
mock-up,макет/модель
rig,снаряжение/обородувание
afford,позволять/иметь возможность
tireless,неутомимый/безустанный
ignite,воспламенять
crane,кран/журавель
cargo,груз
pricey,дорогой
gauge,калибровать/оценивать
excuse,оправдание/извинение
shortage,нехватка/дефицит
trek,путешествие/переход/переселение
sobriety,трезвость
site,место/участок
grieve,горевать
deprive,лишать/отнимать
infant,детский/зарождающийся
foible,слабость/недостаток
cordon,окружать/охранять
interrogation,допрос/опрос
cater,угождать/поставлять
linger,задерживаться/медлить
