Word,Translation
endeavor,стараться/прилагать усилия
hostile,враждебный
feasible,возможный/осуществимый
affair,дело/роман
revitalize,оживлять/воскрешать
obscure,темный/непонятный
sacrifice,жертва
brag,хвастаться
coup,удачный ход
derail,пускать под откос
exude,распространять вокруг себя
trepidation,трепет/тревога/беспокойство
spit,плевать
compassion,сострадание/сочуствие
court,ухаживать/добиваться
envision,представлять себе
abundant,обильный/богатый
asinine,глупый/ослинный
embrace,охватывать/обнимать
restraint,сдержанность
ordeal,суровое испытание
blackmail,шантаж
accuse,обвинять
suspend,приостанавливать/откладывать
